Gen_a	Gen_b	Ortholog_Status	Species_with_Ortholog	Hormone	Duplicated_Ortholog
Solyc11g008680	Capang12g002206	Has Ortholog	CaChiltepin.pep	Brassinosteroid	FALSE
Solyc11g008680	SLYcer11g00480	Has Ortholog	TomatoCerasiforme	Brassinosteroid	FALSE
Solyc11g008680	PGSC0003DMP400028382\tPGSC0003DMT400041874	Has Ortholog	Potato	Brassinosteroid	FALSE
Solyc01g101240	Sopen01g044690	Has Ortholog	TomatoPennelli	Brassinosteroid	TRUE
Solyc01g101240	Capang01g004258	Has Ortholog	CaChiltepin.pep	Brassinosteroid	TRUE
Solyc01g101240	PGSC0003DMP400031856\tPGSC0003DMT400047088	Has Ortholog	Potato	Brassinosteroid	TRUE
Solyc01g101240	SLYcer01g07429	Has Ortholog	TomatoCerasiforme	Brassinosteroid	TRUE
Solyc05g007210	PGSC0003DMP400039949\tPGSC0003DMT400059345	Has Ortholog	Potato	Brassinosteroid	FALSE
Solyc05g007210	Sopen05g003170	Has Ortholog	TomatoPennelli	Brassinosteroid	FALSE
Solyc05g007210	SLYcer05g00360	Has Ortholog	TomatoCerasiforme	Brassinosteroid	FALSE
Solyc11g011020	SLYcer11g00623	Has Ortholog	TomatoCerasiforme	Brassinosteroid	FALSE
Solyc11g011020	Capang00g000308	Has Ortholog	CaChiltepin.pep	Brassinosteroid	FALSE
Solyc11g011020	Capana05g000833	Has Ortholog	CaZL1.pep	Brassinosteroid	FALSE
Solyc03g116060	Sopen03g035050	Has Ortholog	TomatoPennelli	Brassinosteroid	FALSE
Solyc03g116060	Capang03g000718	Has Ortholog	CaChiltepin.pep	Brassinosteroid	FALSE
Solyc09g008840	Sopen09g003630	Has Ortholog	TomatoPennelli	Brassinosteroid	FALSE
Solyc09g008840	SPI09g00400	Has Ortholog	Tomatopimp	Brassinosteroid	FALSE
Solyc02g088390	Sopen02g033070	Has Ortholog	TomatoPennelli	Brassinosteroid	TRUE
Solyc02g088390	Capana02g003335	Has Ortholog	CaZL1.pep	Brassinosteroid	TRUE
Solyc11g008680	NA	No Ortholog	None	Brassinosteroid	FALSE
Solyc01g101240	SPI01g07843	Has Ortholog	Tomatopimp	Brassinosteroid	TRUE
Solyc01g101240	Capana08g001677	Has Ortholog	CaZL1.pep	Brassinosteroid	TRUE
Solyc05g007210	SPI05g00394	Has Ortholog	Tomatopimp	Brassinosteroid	FALSE
Solyc11g011020	SPI11g00763	Has Ortholog	Tomatopimp	Brassinosteroid	FALSE
Solyc11g011020	Sopen11g005790	Has Ortholog	TomatoPennelli	Brassinosteroid	FALSE
Solyc11g011020	PGSC0003DMP400027450\tPGSC0003DMT400040459	Has Ortholog	Potato	Brassinosteroid	FALSE
Solyc03g116060	SLYcer03g04800	Has Ortholog	TomatoCerasiforme	Brassinosteroid	FALSE
Solyc03g116060	PGSC0003DMP400033943\tPGSC0003DMT400050285	Has Ortholog	Potato	Brassinosteroid	FALSE
Solyc03g116060	Capana03g000783	Has Ortholog	CaZL1.pep	Brassinosteroid	FALSE
Solyc03g116060	SPI03g04858	Has Ortholog	Tomatopimp	Brassinosteroid	FALSE
Solyc09g008840	SLYcer09g00483	Has Ortholog	TomatoCerasiforme	Brassinosteroid	FALSE
Solyc09g008840	PGSC0003DMP400004822\tPGSC0003DMT400006945	Has Ortholog	Potato	Brassinosteroid	FALSE
Solyc09g008840	Capana09g002320	Has Ortholog	CaZL1.pep	Brassinosteroid	FALSE
Solyc08g083240	PGSC0003DMP400021405\tPGSC0003DMT400031576	Has Ortholog	Potato	Auxin	FALSE
Solyc08g083240	SLYcer08g06541	Has Ortholog	TomatoCerasiforme	Auxin	FALSE
Solyc08g083240	Capana01g000038	Has Ortholog	CaZL1.pep	Auxin	FALSE
Solyc08g083240	SPI08g06445	Has Ortholog	Tomatopimp	Auxin	FALSE
Solyc08g083240	Sopen08g031430	Has Ortholog	TomatoPennelli	Auxin	FALSE
Solyc12g015770	Capang05g001789	Has Ortholog	CaChiltepin.pep	Auxin	FALSE
Solyc07g064500	Sopen07g032700	Has Ortholog	TomatoPennelli	Auxin	FALSE
Solyc07g064500	SLYcer07g05488	Has Ortholog	TomatoCerasiforme	Auxin	FALSE
Solyc07g064500	Capana00g004184	Has Ortholog	CaZL1.pep	Auxin	FALSE
Solyc06g007910	SPI06g00257	Has Ortholog	Tomatopimp	Auxin	FALSE
Solyc06g007910	Capana06g002956	Has Ortholog	CaZL1.pep	Auxin	FALSE
Solyc06g007910	Sopen06g002760	Has Ortholog	TomatoPennelli	Auxin	FALSE
Solyc06g007910	Capang06g002716	Has Ortholog	CaChiltepin.pep	Auxin	FALSE
Solyc09g098030	PGSC0003DMP400029051\tPGSC0003DMT400042832	Has Ortholog	Potato	Auxin	FALSE
Solyc09g098030	Capana03g004277	Has Ortholog	CaZL1.pep	Auxin	FALSE
Solyc09g098030	SPI09g04936	Has Ortholog	Tomatopimp	Auxin	FALSE
Solyc09g098030	SLYcer09g05251	Has Ortholog	TomatoCerasiforme	Auxin	FALSE
Solyc09g098030	Capang03g004091	Has Ortholog	CaChiltepin.pep	Auxin	TRUE
Solyc09g098030	Capang07g000372	Has Ortholog	CaChiltepin.pep	Auxin	TRUE
Solyc09g082650	Capana00g000108	Has Ortholog	CaZL1.pep	Auxin	FALSE
Solyc09g082650	PGSC0003DMP400011445\tPGSC0003DMT400016513	Has Ortholog	Potato	Auxin	FALSE
Solyc01g098650	SLYcer01g07687	Has Ortholog	TomatoCerasiforme	Auxin	FALSE
Solyc03g113560	NA	No Ortholog	None	Auxin	FALSE
Solyc02g080940	Sopen02g025620	Has Ortholog	TomatoPennelli	Auxin	FALSE
Solyc09g005310	SLYcer09g00220	Has Ortholog	TomatoCerasiforme	Auxin	FALSE
Solyc09g005310	Sopen09g001280	Has Ortholog	TomatoPennelli	Auxin	FALSE
Solyc09g005310	Capang00g003433	Has Ortholog	CaChiltepin.pep	Auxin	FALSE
Solyc07g052430	SLYcer07g04752	Has Ortholog	TomatoCerasiforme	Auxin	FALSE
Solyc07g052430	SPI07g05469	Has Ortholog	Tomatopimp	Auxin	FALSE
Solyc05g055220	Capang05g001990	Has Ortholog	CaChiltepin.pep	Auxin	FALSE
Solyc02g068280	Sopen02g017380	Has Ortholog	TomatoPennelli	Auxin	FALSE
Solyc02g068280	Capana02g001083	Has Ortholog	CaZL1.pep	Auxin	FALSE
Solyc08g083240	Capang01g000034	Has Ortholog	CaChiltepin.pep	Auxin	FALSE
Solyc12g015770	PGSC0003DMP400051900\tPGSC0003DMT400076611	Has Ortholog	Potato	Auxin	FALSE
Solyc12g015770	Capana05g002235	Has Ortholog	CaZL1.pep	Auxin	FALSE
Solyc07g064500	PGSC0003DMP400038474\tPGSC0003DMT400057204	Has Ortholog	Potato	Auxin	FALSE
Solyc07g064500	Capang01g005125	Has Ortholog	CaChiltepin.pep	Auxin	FALSE
Solyc07g064500	SPI07g06203	Has Ortholog	Tomatopimp	Auxin	FALSE
Solyc06g007910	PGSC0003DMP400002225\tPGSC0003DMT400003089	Has Ortholog	Potato	Auxin	FALSE
Solyc09g098030	NA	No Ortholog	None	Auxin	FALSE
Solyc09g082650	SLYcer09g04768	Has Ortholog	TomatoCerasiforme	Auxin	FALSE
Solyc09g082650	Sopen09g031500	Has Ortholog	TomatoPennelli	Auxin	FALSE
Solyc09g082650	SPI09g04424	Has Ortholog	Tomatopimp	Auxin	FALSE
Solyc09g082650	Capang03g003724	Has Ortholog	CaChiltepin.pep	Auxin	FALSE
Solyc01g098650	PGSC0003DMP400049824\tPGSC0003DMT400073632	Has Ortholog	Potato	Auxin	FALSE
Solyc01g098650	Sopen01g042200	Has Ortholog	TomatoPennelli	Auxin	FALSE
Solyc01g098650	Capana08g001375	Has Ortholog	CaZL1.pep	Auxin	FALSE
Solyc01g098650	SPI01g07579	Has Ortholog	Tomatopimp	Auxin	FALSE
Solyc01g098650	Capang01g003941	Has Ortholog	CaChiltepin.pep	Auxin	FALSE
Solyc03g113560	NA	No Ortholog	None	Auxin	FALSE
Solyc02g080940	SLYcer02g04481	Has Ortholog	TomatoCerasiforme	Auxin	FALSE
Solyc02g080940	PGSC0003DMP400028804\tPGSC0003DMT400042468	Has Ortholog	Potato	Auxin	FALSE
Solyc02g080940	Capana02g002240	Has Ortholog	CaZL1.pep	Auxin	FALSE
Solyc02g080940	SPI02g03376	Has Ortholog	Tomatopimp	Auxin	FALSE
Solyc09g005310	PGSC0003DMP400039991\tPGSC0003DMT400059413	Has Ortholog	Potato	Auxin	FALSE
Solyc09g005310	SPI09g00110	Has Ortholog	Tomatopimp	Auxin	FALSE
Solyc09g005310	Capana09g001222	Has Ortholog	CaZL1.pep	Auxin	FALSE
Solyc07g052430	Sopen07g026060	Has Ortholog	TomatoPennelli	Auxin	FALSE
Solyc07g052430	Capang07g001491	Has Ortholog	CaChiltepin.pep	Auxin	FALSE
Solyc07g052430	PGSC0003DMP400044210\tPGSC0003DMT400065532	Has Ortholog	Potato	Auxin	FALSE
Solyc05g055220	SPI05g04862	Has Ortholog	Tomatopimp	Auxin	FALSE
Solyc05g055220	PGSC0003DMP400040453\tPGSC0003DMT400060128	Has Ortholog	Potato	Auxin	FALSE
Solyc05g055220	Sopen05g033660	Has Ortholog	TomatoPennelli	Auxin	FALSE
Solyc05g055220	Capana05g002442	Has Ortholog	CaZL1.pep	Auxin	FALSE
Solyc05g055220	SLYcer10g02119	Has Ortholog	TomatoCerasiforme	Auxin	FALSE
Solyc02g068280	Capang02g000991	Has Ortholog	CaChiltepin.pep	Auxin	FALSE
Solyc02g068280	PGSC0003DMP400016639\tPGSC0003DMT400024344	Has Ortholog	Potato	Auxin	FALSE
Solyc02g068280	SPI02g02510	Has Ortholog	Tomatopimp	Auxin	FALSE
Solyc02g068280	SLYcer02g03613	Has Ortholog	TomatoCerasiforme	Auxin	FALSE
